index	start_secs	end_secs	admitted	completed	censored	exact	p50_ms	p90_ms	p99_ms	max_ms
0	0	600	1647	1647	0	true	29.547955647672097	139.9503481692592	368.7266856630298	2299.349791461566
1	600	1200	1899	1899	0	true	35.46403494135575	200.83941756909104	546.2306204338392	3038.109456117809
2	1200	1800	2323	2323	0	true	88.85893251272137	516.0844435566111	1176.381741515352	3730.006752423378
3	1800	2400	2265	2265	0	true	63.76855456664998	571.9458564525671	1532.1764674516287	3081.95387444448
4	2400	3000	2137	2137	0	true	32.54594628469931	158.6137359587156	950.3389506536288	2820.397666206645
5	3000	3600	2888	2888	0	true	33.15736913214096	169.47839279205266	1249.432913494239	3543.907744182434
6	3600	4200	3329	3329	0	true	41.855587161990115	287.1818942296159	2270.1949997507254	4233.973090666495
7	4200	4800	2880	2880	0	true	53.266080303274066	393.4327132537871	2165.875814562169	5081.4930144342725
8	4800	5400	3157	3157	0	true	43.00082170902897	242.0379334806058	1873.1684576130287	4860.456112760403
9	5400	6000	2956	2956	0	true	62.102790348944836	400.76383512450775	3202.1662897533038	8419.503525995424
10	6000	6600	3326	3326	0	true	132.8466575487255	688.3758171079535	4504.922708614458	12964.084217306663
11	6600	7200	3625	3625	0	true	134.92241097446822	725.2885072630306	3667.0001919847837	9651.285505884516
12	7200	7800	3301	3301	0	true	66.48614725236257	403.5156889594873	4159.617647095729	13264.468590551587
13	7800	8400	3387	3387	0	true	110.74762383213965	516.2466548530575	4394.540791200175	12988.96596027953
14	8400	9000	3307	3307	0	true	109.48999219908728	641.4496604891618	5020.193635500001	12362.662508659923
15	9000	9600	3319	3319	0	true	181.96864283527248	1914.5029332521551	15508.83885995117	28610.612073882294
16	9600	10200	3365	3365	0	true	310.5675234728551	6471.780184679298	55917.32549367113	69399.51792489592
17	10200	10800	3388	3388	0	true	362.05782351407834	6315.846388107825	77410.06184710712	89856.73981890432
18	10800	11400	3561	3561	0	true	431.09174223172886	10585.460403250181	97262.36328351333	109625.34804033749
19	11400	12000	3645	3645	0	true	386.9424073564005	7611.655100200357	85870.97546800265	96912.60080919164
20	12000	12600	3372	3372	0	true	513.8905283220083	51789.03999503309	114634.44344375828	121361.71782726342
21	12600	13200	3170	3170	0	true	495.9862406230968	63941.35026418788	128251.1424221089	135994.50211848307
22	13200	13800	3841	3841	0	true	403.16747899123584	68366.44139686177	132013.4715690274	143766.01802940786
23	13800	14400	3128	3128	0	true	440.9410652851875	85368.45617846794	151723.4457344374	156862.99746299302
24	14400	15000	2925	2925	0	true	437.90773039654596	98524.35555544251	162693.99359335084	171604.89428149047
25	15000	15600	3132	3132	0	true	507.2770364185999	97967.18417283591	181951.34240751105	202779.2402757241
26	15600	16200	2796	2796	0	true	1021.1044972884338	141225.8534408711	224724.08375855835	233296.0183915311
27	16200	16800	2909	2909	0	true	595.8118543821911	136874.52551775577	212196.19474852734	219145.67375054685
28	16800	17400	2458	2458	0	true	2360.483917969759	200831.42514704826	278082.00433559343	292803.39127192565
29	17400	18000	1944	1944	0	true	77558.3432500589	236686.24302964163	315173.9506166641	325231.95463285444
30	18000	18600	2325	2325	0	true	9096.096752018639	239823.40691368227	312753.3005107587	317908.06028993754
31	18600	19200	1849	1849	0	true	138642.32574154084	301881.04375823465	332361.7115352477	337925.6166361702
32	19200	19800	1626	1626	0	true	171803.0466324035	308834.2699576333	335122.3687581996	342788.9287477046
33	19800	20400	1611	1611	0	true	186207.16663862186	336881.75289878924	367257.5384095038	374607.49015440885
34	20400	21000	1662	1662	0	true	228047.99238901067	374813.34336424986	399986.2948322834	411838.6190805868
35	21000	21600	1310	1310	0	true	271229.2823198695	404250.71560261643	424154.00635031215	427388.04005593556
36	21600	22200	1388	1388	0	true	282879.5832001761	418543.0666649525	454835.44725059834	469172.35758052627
37	22200	22800	1387	1387	0	true	292955.6316512826	461735.63633432204	485698.9774427309	488999.01452543784
38	22800	23400	1397	1397	0	true	315382.1849755368	439780.08741064405	463207.59582061786	469668.84886394837
39	23400	24000	1427	1427	0	true	336341.6779938052	432154.22266360477	458438.81234297546	470822.1038907941
40	24000	24600	1484	1484	0	true	354887.8585427628	461446.53713722405	477581.658124029	482092.08285814745
41	24600	25200	1492	1492	0	true	365290.0401526986	475046.202020135	499093.60897342255	502128.32635015366
42	25200	25800	1518	555	963	false	360470.87866432045	429703.27935265016	482446.67426233744	485585.177968831
