lambda_rank_sessions_s	lambda_node_sessions_s	output_tokens_per_sec	slo_met	cohort_index	start_secs	end_secs	requests	p50_ms	p90_ms	p99_ms	max_ms
0.015	0.12	2387.965510124671	true	0	0	120	279	27.6861892357374	154.550074819781	558.7092433752937	2105.29064286402
0.015	0.12	2387.965510124671	true	1	120	240	421	27.87799735688168	104.18453653119286	462.82414584011394	1236.1093425733998
0.015	0.12	2387.965510124671	true	2	240	360	300	28.16651846296736	151.34632432964287	1148.6706616403499	2248.3140043200365
0.015	0.12	2387.965510124671	true	3	360	480	392	28.49486815603086	152.38174453102152	1122.4534379349504	1334.0621764132266
0.015	0.12	2387.965510124671	true	4	480	600	309	28.378856498875393	139.67803980931419	717.8693741043227	1347.2253380045913
0.015	0.12	2387.965510124671	true	5	600	720	335	29.493172687580227	146.34512172660834	881.0036962804162	2394.1646063076405
0.015	0.12	2387.965510124671	true	6	720	840	295	27.49411609602248	152.39812625341074	1183.166505402706	2783.343209227496
0.015	0.12	2387.965510124671	true	7	840	960	388	27.437922955186878	150.8343221298674	880.0321648806477	2062.117577385834
0.015	0.12	2387.965510124671	true	8	960	1080	511	24.862347906491777	142.11192775383097	486.7915156026806	1861.3667395025004
0.015	0.12	2387.965510124671	true	9	1080	1200	560	27.19785732915625	141.72423820505176	1377.838194937865	3122.978541462089
0.015	0.12	2387.965510124671	true	10	1200	1320	416	27.06272177374558	141.79899025839404	1341.9012683780713	2135.339629769078
0.015	0.12	2387.965510124671	true	11	1320	1440	452	25.83981497946297	149.5652051042271	672.14179834502	4232.193257051222
0.015	0.12	2387.965510124671	true	12	1440	1560	453	29.841045285138534	138.3001308560779	876.5099763885524	2585.056240641279
0.015	0.12	2387.965510124671	true	13	1560	1680	459	31.95427347873192	215.89592534764958	1713.753493932259	2965.018042715201
0.015	0.12	2387.965510124671	true	14	1680	1800	542	35.51278592794915	195.7664609515633	1794.0778919837092	3732.389850497384
0.015	0.12	2387.965510124671	true	15	1800	1920	543	30.797091562817513	156.76501322050177	977.1284739496346	1934.3576955852768
0.015	0.12	2387.965510124671	true	16	1920	2040	641	24.969339773633692	133.90656591855077	746.4611179744741	2241.7404866855577
0.015	0.12	2387.965510124671	true	17	2040	2160	687	25.7782464614138	120.17080210171113	303.6455781563741	2262.332145847722
0.015	0.12	2387.965510124671	true	18	2160	2280	556	23.74458642952959	168.82934595105326	1330.9003842491172	2717.2123562577326
0.015	0.12	2387.965510124671	true	19	2280	2400	536	28.991451637921273	200.6513855180856	1240.7741457544487	2799.2211404616683
0.015	0.12	2387.965510124671	true	20	2400	2520	533	50.61036221559334	325.90458788872644	2263.296347350984	3165.5502749390507
0.015	0.12	2387.965510124671	true	21	2520	2640	520	41.52620569220744	282.80152134893797	884.6257349814681	2887.7305041278305
0.015	0.12	2387.965510124671	true	22	2640	2760	497	49.17110431506444	375.5791480061817	2187.4583666746585	3775.080499770411
0.015	0.12	2387.965510124671	true	23	2760	2880	595	38.70991053281614	325.4611515785656	1188.8923013790918	2453.263502644404
0.015	0.12	2387.965510124671	true	24	2880	3000	501	63.18066936546529	401.8786817723594	2420.6867317825527	3288.9339005250804
0.015	0.12	2387.965510124671	true	25	3000	3120	458	39.88909858708212	274.28478351976094	2096.9916453698006	3518.870157375204
0.015	0.12	2387.965510124671	true	26	3120	3240	401	27.655069742650085	162.31874992354278	1259.7063253797387	2412.185747404692
0.015	0.12	2387.965510124671	true	27	3240	3360	435	35.704959215763665	325.53808343254804	2980.4492860131013	10623.947815643078
0.015	0.12	2387.965510124671	true	28	3360	3480	549	28.804316822970577	156.74853010514198	1100.8486816190618	2297.4257579389814
0.015	0.12	2387.965510124671	true	29	3480	3600	447	35.63985573237005	200.18810901437976	2221.1069072316072	3331.075055400106
0.015	0.12	2387.965510124671	true	30	3600	3720	409	36.834127292422636	214.03865718220914	2366.950307009581	3576.52921366207
0.015	0.12	2387.965510124671	true	31	3720	3840	481	34.69704748658842	187.93622478278849	1974.110847384871	4027.862627954164
0.015	0.12	2387.965510124671	true	32	3840	3960	503	33.95076266133401	224.36232228919837	2670.1552570774593	3973.04409581011
0.015	0.12	2387.965510124671	true	33	3960	4080	408	27.34115121575087	210.00160621315482	1869.5327670585175	6878.935289199944
0.015	0.12	2387.965510124671	true	34	4080	4200	546	35.59017257293817	218.87588821846293	1351.1267248484678	2119.1192732158015
0.015	0.12	2387.965510124671	true	35	4200	4320	406	30.99275676186153	204.91107614270732	1616.7629575219962	2494.3259297342593
0.015	0.12	2387.965510124671	true	36	4320	4440	556	46.694732495780045	267.3758027272015	2369.617075204551	11173.898019731496
0.015	0.12	2387.965510124671	true	37	4440	4560	506	36.2900902587171	225.47419997908946	2500.0811751479846	5226.753858937627
0.015	0.12	2387.965510124671	true	38	4560	4680	364	61.84209222692516	373.8119626132173	4227.049816326627	11136.376686865333
0.015	0.12	2387.965510124671	true	39	4680	4800	459	32.12735076158424	276.01871404622216	2639.2439022729204	5933.937487576259
0.015	0.12	2387.965510124671	true	40	4800	4920	482	62.45401328578737	450.9460835890426	3148.1993900807806	4266.972170240479
0.015	0.12	2387.965510124671	true	41	4920	5040	553	49.13832464990264	371.49189167594164	2472.4360021727266	5218.1183086731835
0.015	0.12	2387.965510124671	true	42	5040	5160	460	90.88485933443735	455.8582805497284	2727.228497618032	5392.627264053772
0.015	0.12	2387.965510124671	true	43	5160	5280	493	143.30064624846273	684.8643933119092	4005.0396373542735	5296.22226556512
0.015	0.12	2387.965510124671	true	44	5280	5400	633	118.15631239733193	701.4731609175224	3720.6314867084434	14193.424401330049
0.015	0.12	2387.965510124671	true	45	5400	5520	653	113.01089801963826	563.8736257325959	2890.8802239442593	10377.994510170538
0.015	0.12	2387.965510124671	true	46	5520	5640	628	50.485366427892586	350.2318323480726	3540.5998250409193	8667.492044551182
0.015	0.12	2387.965510124671	true	47	5640	5760	640	92.0254629872943	574.3782715419006	3160.2937203240444	4943.004079061211
0.015	0.12	2387.965510124671	true	48	5760	5880	490	41.54482742160326	335.7996790326071	2428.8487695437343	7773.132750915465
0.015	0.12	2387.965510124671	true	49	5880	6000	526	39.52801031027775	457.1605909286518	9769.505922811277	13754.517873674558
0.015	0.12	2387.965510124671	true	50	6000	6120	550	156.68908318821195	712.0884577578184	9068.147620628824	12677.196228580215
0.015	0.12	2387.965510124671	true	51	6120	6240	563	46.1145784065593	422.1075997204026	3588.056688018691	12252.60612394959
0.015	0.12	2387.965510124671	true	52	6240	6360	545	39.56393550106441	257.69187722144125	1739.9164192297712	7479.017885849316
0.015	0.12	2387.965510124671	true	53	6360	6480	624	40.942584021649964	260.9442030530773	2866.5139702995593	5810.52621654635
0.015	0.12	2387.965510124671	true	54	6480	6600	497	48.0134767240088	392.42751322744897	9471.44034062965	13103.419494580521
0.015	0.12	2387.965510124671	true	55	6600	6720	561	28.78311593667604	177.25431432518235	894.0002236759013	3115.345801867079
0.015	0.12	2387.965510124671	true	56	6720	6840	560	43.3007634974274	271.04965852049656	3199.677764411051	7383.442922237009
0.015	0.12	2387.965510124671	true	57	6840	6960	575	52.389990330993896	308.72836104172166	2791.584924116141	6037.666755959435
0.015	0.12	2387.965510124671	true	58	6960	7080	512	60.699546115756675	648.1956166255276	4201.660436499619	8916.916119460438
0.015	0.12	2387.965510124671	true	59	7080	7200	555	38.968023103734595	222.1758656774911	2265.5719130826787	6003.358746827871
0.0175	0.14	2694.622869060992	true	0	0	120	304	30.12948185460118	163.48289439629292	727.7700525213752	1265.3819583588302
0.0175	0.14	2694.622869060992	true	1	120	240	460	25.55605265479244	98.8933127082874	286.4578280610513	682.1795942737481
0.0175	0.14	2694.622869060992	true	2	240	360	338	29.43259085259342	150.68321652388477	421.8195433145631	2264.5373075029056
0.0175	0.14	2694.622869060992	true	3	360	480	397	27.434433247435663	150.47702742076584	711.3738683520392	1818.0024168591444
0.0175	0.14	2694.622869060992	true	4	480	600	413	35.98193715833986	190.5375430683307	1158.3214604200293	1454.7405810535565
0.0175	0.14	2694.622869060992	true	5	600	720	386	27.978576968507696	177.63888496961044	1397.5963983557292	3130.4962607332527
0.0175	0.14	2694.622869060992	true	6	720	840	408	26.86441706759979	142.22546041005444	368.4604947134403	1213.877477087408
0.0175	0.14	2694.622869060992	true	7	840	960	566	27.239340817686752	158.39512001116418	484.7703953056908	3029.5775155927913
0.0175	0.14	2694.622869060992	true	8	960	1080	637	29.84020987560143	174.88391390506868	1345.804109664767	2842.93754205828
0.0175	0.14	2694.622869060992	true	9	1080	1200	399	26.70089143293808	134.50901763526414	720.2306426420454	1610.019452299639
0.0175	0.14	2694.622869060992	true	10	1200	1320	471	29.72609360176648	166.8815134680699	1167.4912668746456	1999.4909786728385
0.0175	0.14	2694.622869060992	true	11	1320	1440	473	28.686460303106287	185.69777394432097	1803.808349179831	3224.877642923275
0.0175	0.14	2694.622869060992	true	12	1440	1560	633	36.837725441273506	191.1089464229008	1554.6634509646128	2674.582761520469
0.0175	0.14	2694.622869060992	true	13	1560	1680	624	32.44263758915622	194.68372736291755	1639.4521062958559	3344.0291908545987
0.0175	0.14	2694.622869060992	true	14	1680	1800	616	29.242372110275028	168.86415922908782	1637.4446281739515	4447.527346495008
0.0175	0.14	2694.622869060992	true	15	1800	1920	660	32.6672727442201	207.93638457898854	2655.8618959009223	3962.9056264784595
0.0175	0.14	2694.622869060992	true	16	1920	2040	602	30.517231620706298	242.9096881394798	2465.1809522884114	3852.9230168624053
0.0175	0.14	2694.622869060992	true	17	2040	2160	641	34.798586556462396	249.83232806152955	1312.4733129105177	3477.237493776556
0.0175	0.14	2694.622869060992	true	18	2160	2280	536	39.58532675915194	273.17136037436285	1309.9898837455814	2463.907977117742
0.0175	0.14	2694.622869060992	true	19	2280	2400	596	40.45579168632685	341.73591887065413	2136.519098853157	3459.8082403445005
0.0175	0.14	2694.622869060992	true	20	2400	2520	539	61.6730065921729	403.7161418253163	2469.9659380468074	3304.5796556571077
0.0175	0.14	2694.622869060992	true	21	2520	2640	525	36.37491287099692	330.57775512206746	1705.6176092374117	2790.6943646858053
0.0175	0.14	2694.622869060992	true	22	2640	2760	579	40.303638942532416	330.4443208380691	1669.0413784289947	3547.448496547986
0.0175	0.14	2694.622869060992	true	23	2760	2880	488	25.938578203295037	183.31815242891028	2116.767934049484	3023.997188420253
0.0175	0.14	2694.622869060992	true	24	2880	3000	591	35.21040982832346	234.26746749373706	2084.0140541035967	3572.1064020490303
0.0175	0.14	2694.622869060992	true	25	3000	3120	566	38.18228324053052	206.18002914943645	1518.6331376025921	3130.9022303685197
0.0175	0.14	2694.622869060992	true	26	3120	3240	498	39.14159542728157	239.71160411656464	2460.945249313879	3335.84483341383
0.0175	0.14	2694.622869060992	true	27	3240	3360	598	42.34344973428961	251.19177817068706	2397.361655394934	3317.886915586314
0.0175	0.14	2694.622869060992	true	28	3360	3480	502	48.51519506382829	310.4030378756763	3056.5493708823974	3716.9252256117034
0.0175	0.14	2694.622869060992	true	29	3480	3600	578	39.11618738584366	223.47179508869885	1154.9505501150386	2123.531975759761
0.0175	0.14	2694.622869060992	true	30	3600	3720	510	45.54447037935461	277.44279555008706	3333.056546483392	10575.514538237258
0.0175	0.14	2694.622869060992	true	31	3720	3840	585	48.914240108388185	347.34621039424394	3540.6126631161515	5862.166498194711
0.0175	0.14	2694.622869060992	true	32	3840	3960	482	41.950722285037045	249.5520582704558	2455.96785259573	6729.390775519278
0.0175	0.14	2694.622869060992	true	33	3960	4080	445	42.8283300880139	303.16437269138993	2227.0820278854812	3994.9569411428456
0.0175	0.14	2694.622869060992	true	34	4080	4200	551	54.57379044491972	347.00791038630996	2495.4719902134457	4670.03383939209
0.0175	0.14	2694.622869060992	true	35	4200	4320	599	63.696150275973196	428.9345859546308	2686.6495234235967	5004.346928999439
0.0175	0.14	2694.622869060992	true	36	4320	4440	496	48.82873790211306	376.224426481258	1479.870719507157	2911.7934772884837
0.0175	0.14	2694.622869060992	true	37	4440	4560	570	61.81409455848552	416.1195941185726	2052.9029249018804	5271.089680190926
0.0175	0.14	2694.622869060992	true	38	4560	4680	702	107.99692249338477	478.01383938221977	3293.5085713803655	5205.296035497668
0.0175	0.14	2694.622869060992	true	39	4680	4800	563	109.02245890520135	555.439911265785	3388.8849422566436	11816.807039970627
0.0175	0.14	2694.622869060992	true	40	4800	4920	713	77.91350654315465	488.0632552692997	2313.7790951172783	4957.622130648815
0.0175	0.14	2694.622869060992	true	41	4920	5040	636	65.40242299206511	484.81568195484215	4076.0595224889107	12451.766540213612
0.0175	0.14	2694.622869060992	true	42	5040	5160	619	83.82875295592385	567.7869637005648	3353.5616969435823	7369.336459216356
0.0175	0.14	2694.622869060992	true	43	5160	5280	672	142.38804251954207	963.0731159953026	3911.6362284619086	8283.816865852714
0.0175	0.14	2694.622869060992	true	44	5280	5400	723	40.58255560721591	274.5067007070248	2973.6501710582697	5606.025943113309
0.0175	0.14	2694.622869060992	true	45	5400	5520	716	67.33263057185468	343.3835056011958	2603.558304769699	4861.118374634316
0.0175	0.14	2694.622869060992	true	46	5520	5640	609	36.07758882117196	244.04966318597883	2133.431036063807	5916.429151096963
0.0175	0.14	2694.622869060992	true	47	5640	5760	548	86.08070700574899	451.2741145394102	5905.443596720383	13787.144401285332
0.0175	0.14	2694.622869060992	true	48	5760	5880	639	51.42026185967552	290.625971528789	3093.504839934759	5365.0889737418765
0.0175	0.14	2694.622869060992	true	49	5880	6000	596	45.29982124495291	330.0952921499629	3602.4549950349533	12221.537280700431
0.0175	0.14	2694.622869060992	true	50	6000	6120	645	132.68763510677672	428.183882524536	5467.438289296669	7730.30015119366
0.0175	0.14	2694.622869060992	true	51	6120	6240	561	62.93339987678337	490.6298302103096	4827.58231773186	7582.396672289178
0.0175	0.14	2694.622869060992	true	52	6240	6360	484	100.48964425095619	465.9442160753314	4339.943568869615	13185.441319385063
0.0175	0.14	2694.622869060992	true	53	6360	6480	537	59.51740524506022	396.64776336758223	3515.4599285443683	7425.736435137878
0.0175	0.14	2694.622869060992	true	54	6480	6600	582	49.89209764789848	389.80650715930085	5339.185106674051	7321.30646090809
0.0175	0.14	2694.622869060992	true	55	6600	6720	542	50.5641987101626	321.52618942127447	3426.1875510513764	6138.955306174466
0.0175	0.14	2694.622869060992	true	56	6720	6840	656	48.39771750357613	269.6868276743771	3009.7219597783874	5785.59793720342
0.0175	0.14	2694.622869060992	true	57	6840	6960	614	52.57411206730467	429.8516639295485	2479.5523406225407	13343.944417898456
0.0175	0.14	2694.622869060992	true	58	6960	7080	613	73.39574684010586	366.4627226509768	3350.1350121095306	8167.425391242432
0.0175	0.14	2694.622869060992	true	59	7080	7200	748	38.04427133854915	250.43636598857123	2526.6891014245593	5992.39288354147
0.02	0.16	3011.229510297725	true	0	0	120	338	33.35530889467009	193.26348715953836	1064.5539072147253	1367.863156248859
0.02	0.16	3011.229510297725	true	1	120	240	435	27.223168162436195	159.9651462176553	1731.5808334487585	2909.086004888195
0.02	0.16	3011.229510297725	true	2	240	360	437	26.784287580994715	143.34429049176833	694.9088635609949	1332.5396154295959
0.02	0.16	3011.229510297725	true	3	360	480	400	27.816069964501366	144.13026120314504	345.4637840769555	789.1689639914148
0.02	0.16	3011.229510297725	true	4	480	600	408	33.80180340877814	208.8195835541683	1446.2338439656298	2918.4290938046615
0.02	0.16	3011.229510297725	true	5	600	720	419	27.398565957810206	147.59909501199218	402.5899486241451	2214.7867769053846
0.02	0.16	3011.229510297725	true	6	720	840	679	34.75310160092704	215.08109011892898	1733.379876279296	3619.7724760445453
0.02	0.16	3011.229510297725	true	7	840	960	673	28.177187764867995	150.8107627221763	1025.5482729539087	3167.4507821094267
0.02	0.16	3011.229510297725	true	8	960	1080	511	26.074101184349274	134.8447635937191	1026.515327057174	2100.1157013206466
0.02	0.16	3011.229510297725	true	9	1080	1200	499	28.9051473323525	146.030957783023	1142.1502407641215	1678.3796868166974
0.02	0.16	3011.229510297725	true	10	1200	1320	535	32.69773561123657	171.89258104035622	1174.2790754249677	2948.499669613284
0.02	0.16	3011.229510297725	true	11	1320	1440	696	41.061127808461606	227.44548901073358	2075.104525083686	4638.991399598126
0.02	0.16	3011.229510297725	true	12	1440	1560	676	32.66058887015788	237.64161263511596	2592.7713333570637	3677.1870530642445
0.02	0.16	3011.229510297725	true	13	1560	1680	709	30.982390916960867	225.49209590861238	2190.6256953984284	3326.7064491697056
0.02	0.16	3011.229510297725	true	14	1680	1800	636	38.09881063693865	252.25510631730685	2621.881512657296	4929.6446975235995
0.02	0.16	3011.229510297725	true	15	1800	1920	644	39.581644515919834	280.54103598710753	1862.99689269173	3390.901124545053
0.02	0.16	3011.229510297725	true	16	1920	2040	586	62.72706066420142	398.2040297282765	2099.1315763454145	3727.037329637824
0.02	0.16	3011.229510297725	true	17	2040	2160	639	63.578635577869136	362.6981860972593	2552.835924491211	5095.082057020591
0.02	0.16	3011.229510297725	true	18	2160	2280	584	40.42665044153182	290.62514823081074	949.9689769374228	3354.4558343028257
0.02	0.16	3011.229510297725	true	19	2280	2400	550	50.180109075881774	420.50862622372784	2190.6979626647117	3152.3034321644445
0.02	0.16	3011.229510297725	true	20	2400	2520	502	49.43596314160459	405.87971009772497	2171.9890385394724	3008.842134133374
0.02	0.16	3011.229510297725	true	21	2520	2640	623	43.981387644635106	287.85269391974083	2574.9363037282637	4347.3160812927745
0.02	0.16	3011.229510297725	true	22	2640	2760	565	44.05203008809622	229.52606838480293	1857.6332987257442	3490.9532110868895
0.02	0.16	3011.229510297725	true	23	2760	2880	726	37.34891413614605	211.99730836224262	1852.6500987820782	3526.7294260147537
