lambda_rank_sessions_s	lambda_node_sessions_s	output_tokens_per_sec	slo_met	window_index	start_secs	end_secs	requests	p50_ms	p90_ms	p99_ms	max_ms
0.015	0.12	2387.965510124671	true	0	0	600	1701	28.154755655123154	145.15744718482892	1023.9588629356149	2248.3140043200365
0.015	0.12	2387.965510124671	true	1	600	1200	2089	27.401271066992194	144.79057942899092	1036.1748074747436	3122.978541462089
0.015	0.12	2387.965510124671	true	2	1200	1800	2322	29.728279930168355	174.32694762592294	1478.7524738506702	4232.193257051222
0.015	0.12	2387.965510124671	true	3	1800	2400	2963	26.559165573416976	151.48951715400474	1056.8275825214926	2799.2211404616683
0.015	0.12	2387.965510124671	true	4	2400	3000	2646	45.85998580432715	339.9513596768884	2164.110842002408	3775.080499770411
0.015	0.12	2387.965510124671	true	5	3000	3600	2290	32.256269372737734	214.03305639241805	2218.932510106388	10623.947815643078
0.015	0.12	2387.965510124671	true	6	3600	4200	2347	33.80438745352876	214.0523516780377	1985.915339099483	6878.935289199944
0.015	0.12	2387.965510124671	true	7	4200	4800	2291	38.05274635215028	269.8681656183908	2683.7299576328355	11173.898019731496
0.015	0.12	2387.965510124671	true	8	4800	5400	2621	89.87162966150208	535.9673346756608	3394.380029390242	14193.424401330049
0.015	0.12	2387.965510124671	true	9	5400	6000	2937	60.54596350440988	458.5489143777523	3461.474569409472	13754.517873674558
0.015	0.12	2387.965510124671	true	10	6000	6600	2779	56.800535287038656	365.0285514962891	5635.559305550302	13103.419494580521
0.015	0.12	2387.965510124671	true	11	6600	7200	2763	42.02052810614987	279.6814135799653	3202.4564531391306	8916.916119460438
0.0175	0.14	2694.622869060992	true	0	0	600	1912	28.978873361666047	151.51243031796187	822.2423923545764	2264.5373075029056
0.0175	0.14	2694.622869060992	true	1	600	1200	2396	27.852494791432036	157.82352589212678	1094.5255227870612	3130.4962607332527
0.0175	0.14	2694.622869060992	true	2	1200	1800	2817	30.8187779473883	180.601790772198	1653.9685375518147	4447.527346495008
0.0175	0.14	2694.622869060992	true	3	1800	2400	3035	34.732802397229534	254.73629624993904	2202.8269482083815	3962.9056264784595
0.0175	0.14	2694.622869060992	true	4	2400	3000	2722	36.424859380531416	284.6273725173887	2216.6667922095216	3572.1064020490303
0.0175	0.14	2694.622869060992	true	5	3000	3600	2742	40.938111341347394	238.7152157378296	2360.7090955779413	3716.9252256117034
0.0175	0.14	2694.622869060992	true	6	3600	4200	2573	46.945825640250405	313.1072687021519	3075.0606430489274	10575.514538237258
0.0175	0.14	2694.622869060992	true	7	4200	4800	2930	75.12572715995702	451.81467362326634	2532.828351124727	11816.807039970627
0.0175	0.14	2694.622869060992	true	8	4800	5400	3363	78.23194491902541	508.03281642329245	3496.175530017702	12451.766540213612
0.0175	0.14	2694.622869060992	true	9	5400	6000	3108	51.36594435771258	340.4254276896611	3542.1874730278128	13787.144401285332
0.0175	0.14	2694.622869060992	true	10	6000	6600	2809	75.1598407568963	426.25217603745244	5030.3403367174915	13185.441319385063
0.0175	0.14	2694.622869060992	true	11	6600	7200	3173	49.3991322509828	323.9669773563947	3086.513952069725	13343.944417898456
0.02	0.16	3011.229510297725	true	0	0	600	2018	29.201983010352706	169.60524677747344	1003.4392384749556	2918.4290938046615
0.02	0.16	3011.229510297725	true	1	600	1200	2781	28.58166409032492	159.33417406949957	1224.6495585747582	3619.7724760445453
0.02	0.16	3011.229510297725	true	2	1200	1800	3252	34.38888197956658	224.15489371701372	2343.355099606683	4929.6446975235995
0.02	0.16	3011.229510297725	true	3	1800	2400	3003	47.613076848392666	350.06641821855743	2063.580373464266	5095.082057020591
0.02	0.16	3011.229510297725	true	4	2400	3000	3065	40.407904069070355	248.763313985546	2208.032053679426	4347.3160812927745
0.02	0.16	3011.229510297725	true	5	3000	3600	2924	46.646506865272386	332.04742591788187	3146.558700900768	10216.569496318698
0.02	0.16	3011.229510297725	true	6	3600	4200	3183	120.43541917591938	606.0038007388365	4027.51900118648	12043.204913271438
0.02	0.16	3011.229510297725	true	7	4200	4800	3593	133.60495224605984	803.8123326694405	3505.2522864002453	9514.434122669627
0.02	0.16	3011.229510297725	true	8	4800	5400	3451	68.1661513817744	422.2788385641252	4122.716968983241	13116.686401815059
0.02	0.16	3011.229510297725	true	9	5400	6000	3214	66.00154600391761	411.6289664725637	3456.285868818154	7389.018679179571
0.02	0.16	3011.229510297725	true	10	6000	6600	3380	124.62510626482981	731.6178543211203	5802.846650420852	13970.811656585283
0.02	0.16	3011.229510297725	true	11	6600	7200	3398	137.9013467585537	843.562747524266	8049.277973643443	15300.43276394099
0.02125	0.17	3146.023945206604	false	0	0	600	2163	30.270841162746365	181.7897469682066	1111.0121534851576	2679.5974578180903
0.02125	0.17	3146.023945206604	false	1	600	1200	2910	29.250774422507675	176.34811364073352	1420.7469492310577	5048.729963396909
0.02125	0.17	3146.023945206604	false	2	1200	1800	3481	37.76697899684223	270.9700252721632	2336.793080205458	4059.008653719502
0.02125	0.17	3146.023945206604	false	3	1800	2400	3008	50.01246820643246	355.1574323798378	2332.0015829132712	5145.455485280763
0.02125	0.17	3146.023945206604	false	4	2400	3000	3211	46.892289351490035	319.5429796451208	2961.2051516430297	6537.098071728906
0.02125	0.17	3146.023945206604	false	5	3000	3600	3124	53.404865524044	386.89625119541324	2956.128440915972	9129.584213157614
0.02125	0.17	3146.023945206604	false	6	3600	4200	3438	155.0708585909888	1018.9418480903443	6201.682794542639	18756.36077260515
0.02125	0.17	3146.023945206604	false	7	4200	4800	3863	172.43705049440905	1273.2280364274634	13613.601080822575	34995.94746427101
0.02125	0.17	3146.023945206604	false	8	4800	5400	3449	86.86873180886323	478.49559766564226	5564.791611642866	13929.933200923188
0.02125	0.17	3146.023945206604	false	9	5400	6000	3594	108.41667396880439	557.4650670227138	3912.6784121529154	11437.943851705313
0.02125	0.17	3146.023945206604	false	10	6000	6600	3327	154.3913481018535	1268.3676618697066	8766.990579527073	30985.003742016488
0.02125	0.17	3146.023945206604	false	11	6600	7200	3470	327.60195933315117	7487.923204709111	43418.02519687202	53559.55948594965
0.0225	0.18	3314.1089104004363	false	0	0	600	2300	34.080655189882236	242.61444191197356	1281.4484910382132	3107.623769841666
0.0225	0.18	3314.1089104004363	false	1	600	1200	3072	30.579703425701155	186.50003579591623	1250.9945731893583	3762.1799869698407
0.0225	0.18	3314.1089104004363	false	2	1200	1800	3610	38.826963391557	273.27637975868106	2081.6264807991033	4269.256337401657
0.0225	0.18	3314.1089104004363	false	3	1800	2400	3160	58.85482091935046	390.9551162832485	2224.695241693209	4415.35968705648
0.0225	0.18	3314.1089104004363	false	4	2400	3000	3266	52.280861906638165	304.0514689000702	2968.621269211325	7732.36079003982
0.0225	0.18	3314.1089104004363	false	5	3000	3600	3335	77.63897168479161	459.7506151321793	3244.9555050269155	9003.051209451769
0.0225	0.18	3314.1089104004363	false	6	3600	4200	3760	169.1961667047508	1250.5645705358797	4612.525326734825	12907.132780610482
0.0225	0.18	3314.1089104004363	false	7	4200	4800	3896	171.33590554885814	1313.1626947292716	5859.272475386176	15162.859451205804
0.0225	0.18	3314.1089104004363	false	8	4800	5400	3496	100.49937113444685	602.4098827201669	4360.113678248309	12685.361300877048
0.0225	0.18	3314.1089104004363	false	9	5400	6000	3770	135.90787801877013	875.3994950353444	5461.733132313219	12644.91193170943
0.0225	0.18	3314.1089104004363	false	10	6000	6600	3655	166.81845692073693	1432.3040764684258	5835.649415369411	13513.532501654481
0.0225	0.18	3314.1089104004363	false	11	6600	7200	3840	408.782480571972	7509.185533418894	66068.96357400101	77727.85581517564
0.02375	0.19	3397.988614021366	false	0	0	600	2404	39.11301153641489	323.81821309736563	1285.4583250972187	2681.4834720426006
0.02375	0.19	3397.988614021366	false	1	600	1200	3261	32.06597732423688	186.7722013803359	1564.7262032013732	3195.7391913024367
0.02375	0.19	3397.988614021366	false	2	1200	1800	3725	44.55634122223273	285.15350922907595	2181.4820591721204	4381.648070995652
0.02375	0.19	3397.988614021366	false	3	1800	2400	3247	56.49183007199099	379.6576154529248	2478.0880475589947	5554.6267656000055
0.02375	0.19	3397.988614021366	false	4	2400	3000	3252	63.826856957348355	371.45631350404085	3497.877618975913	7428.321545805375
0.02375	0.19	3397.988614021366	false	5	3000	3600	3701	106.17838315192785	491.8163630654817	3773.1869335775627	8400.348287423185
0.02375	0.19	3397.988614021366	false	6	3600	4200	3890	264.31234975734696	3123.2664572648887	36609.59066022979	50348.27841243168
0.02375	0.19	3397.988614021366	false	7	4200	4800	3719	306.33204988862417	5476.723045218753	44936.64443985731	55681.24610376253
0.02375	0.19	3397.988614021366	false	8	4800	5400	3933	173.4131447146865	1581.3914287313312	10927.311489073736	17569.8807662302
0.02375	0.19	3397.988614021366	false	9	5400	6000	3881	145.5428627486981	1106.0066050395108	10013.707189862878	21870.924045959327
0.02375	0.19	3397.988614021366	false	10	6000	6600	4061	267.7129696112388	3713.257108777725	14641.029304121916	22272.1265195014
0.02375	0.19	3397.988614021366	false	11	6600	7200	3024	1044.4039862586578	61919.39188338353	112799.28575116096	131385.01229830034
0.025	0.2	3377.456726966769	false	0	0	600	2529	45.135706122437114	390.7790774056596	1356.8837770597258	2572.6063549543596
0.025	0.2	3377.456726966769	false	1	600	1200	3448	33.507752497826004	208.96094611234733	1743.670542495948	3476.213418295174
0.025	0.2	3377.456726966769	false	2	1200	1800	3753	49.16855725196001	363.5868735344048	2298.721279143283	4705.54811767488
0.025	0.2	3377.456726966769	false	3	1800	2400	3394	64.05702095548804	390.6026998810834	2413.4974574996777	4562.73458151054
0.025	0.2	3377.456726966769	false	4	2400	3000	3363	84.03966689184017	435.7677478257757	3213.906969418625	6840.849396926387
0.025	0.2	3377.456726966769	false	5	3000	3600	3937	144.6656690168311	691.9632707758865	5692.736494627531	10445.200174410274
0.025	0.2	3377.456726966769	false	6	3600	4200	3987	344.8950194861027	5920.869919212783	36708.46566069816	46840.755400385206
0.025	0.2	3377.456726966769	false	7	4200	4800	3705	329.874735301928	6893.361923877818	45917.83010011143	59176.75087052339
0.025	0.2	3377.456726966769	false	8	4800	5400	3788	306.4691465347096	10058.21225072159	41298.29439109092	59261.582699707105
0.025	0.2	3377.456726966769	false	9	5400	6000	3708	295.3732143519119	18380.272173604888	51523.72565921494	62543.66332412701
0.025	0.2	3377.456726966769	false	10	6000	6600	3834	485.44727788157616	30052.69048009451	82221.97679406019	104294.18303725834
0.025	0.2	3377.456726966769	false	11	6600	7200	2345	5374.212284255918	113948.07694181651	150354.17977654908	157458.07117918957
0.0275	0.22	3248.0676307632134	false	0	0	600	3049	48.44412016973365	440.90277812406583	1478.5288082319673	3105.7996568506496
0.0275	0.22	3248.0676307632134	false	1	600	1200	3746	37.7858388178538	219.89670943116835	1952.7835982103898	3778.1222295202497
0.0275	0.22	3248.0676307632134	false	2	1200	1800	3734	83.41706656779024	467.4128719844703	2590.6813093265723	5535.889871428935
0.0275	0.22	3248.0676307632134	false	3	1800	2400	3720	112.30474760441211	575.9167080203041	3084.1521830941624	6478.32501915309
0.0275	0.22	3248.0676307632134	false	4	2400	3000	3686	132.5558593794085	610.5989020243214	3494.239697044304	8612.244614073461
0.0275	0.22	3248.0676307632134	false	5	3000	3600	4382	223.38917601791763	2108.4504896683943	11982.738168543343	21079.56464290237
0.0275	0.22	3248.0676307632134	false	6	3600	4200	3945	456.9022530395159	10440.714183662014	64819.85331909438	82076.23469302962
0.0275	0.22	3248.0676307632134	false	7	4200	4800	3419	532.2459504186554	65778.73841698094	87446.88983843055	99788.83813553512
0.0275	0.22	3248.0676307632134	false	8	4800	5400	3375	546.8901608082888	86594.29082140248	104771.67931088145	111947.36909063067
0.0275	0.22	3248.0676307632134	false	9	5400	6000	3488	927.8539953047584	106484.78665433287	134891.32373373467	143668.29719273574
0.0275	0.22	3248.0676307632134	false	10	6000	6600	2119	48833.782237511514	160548.30061836474	191620.43742294234	198452.22102883237
0.0275	0.22	3248.0676307632134	false	11	6600	7200	1906	125359.74618900036	189675.37953717783	209623.9550195287	216463.9093698588
0.03	0.24	2982.693515964051	false	0	0	600	3288	82.21828655177887	535.849363986722	1605.8282468593643	3327.4416198871677
0.03	0.24	2982.693515964051	false	1	600	1200	4038	50.04978692682016	321.95528606116585	2946.356504742616	11742.525885453233
0.03	0.24	2982.693515964051	false	2	1200	1800	3959	123.92166339441246	627.1669320864934	3781.3831851781697	11103.427484795702
0.03	0.24	2982.693515964051	false	3	1800	2400	3841	125.44005957306581	663.994896402528	3171.412183665596	5895.851677883911
0.03	0.24	2982.693515964051	false	4	2400	3000	4137	178.26993895187115	1440.2254551114313	7214.155904386269	12252.72949326154
0.03	0.24	2982.693515964051	false	5	3000	3600	4176	410.3305398807606	11884.441099432024	55443.19049478986	67073.39752119241
0.03	0.24	2982.693515964051	false	6	3600	4200	3329	852.1926371013251	75096.97573138292	99503.74912796775	107258.01417261845
0.03	0.24	2982.693515964051	false	7	4200	4800	2471	7115.250800419744	114665.67582513654	149027.9262927341	158396.34288187517
0.03	0.24	2982.693515964051	false	8	4800	5400	1968	114608.57157733335	160778.50877024347	183005.68202727375	194371.01596373215
0.03	0.24	2982.693515964051	false	9	5400	6000	1846	137540.26881445135	197049.57133887228	217168.6714997241	224505.93578790175
0.03	0.24	2982.693515964051	false	10	6000	6600	2087	164445.11907355263	206977.23787744492	231410.25300776344	237563.0475657681
0.03	0.24	2982.693515964051	false	11	6600	7200	2341	182319.47488580045	230364.45270407785	255191.03959728853	260527.53776834108
0.04	0.32	2912.6399110883212	false	0	0	600	4440	102.57103658068445	515.6987214704259	1547.786284168661	3986.6934682017927
0.04	0.32	2912.6399110883212	false	1	600	1200	5024	153.697868243853	828.7657212978728	3835.107657154501	9910.51418427287
0.04	0.32	2912.6399110883212	false	2	1200	1800	4828	216.77645711497462	1712.9943596577064	5925.896436678256	9378.28805499339
0.04	0.32	2912.6399110883212	false	3	1800	2400	5142	267.99460515940154	2620.9499383324373	10149.096527702051	39887.352780553556
0.04	0.32	2912.6399110883212	false	4	2400	3000	3811	997.2861125806958	69193.69269935078	103035.74758291164	126337.6845452749
0.04	0.32	2912.6399110883212	false	5	3000	3600	2673	14432.117707991893	131284.33491527394	151308.498658653	156881.07582791327
0.04	0.32	2912.6399110883212	false	6	3600	4200	2020	147803.43375260828	201059.90547061292	216006.63175857312	221365.2981699206
0.04	0.32	2912.6399110883212	false	7	4200	4800	1802	200530.00109839876	231359.2853332604	240353.21110282783	243267.05685842535
0.04	0.32	2912.6399110883212	false	8	4800	5400	1954	234932.14911151835	262276.48581402947	282043.3032156446	294727.33120220253
0.04	0.32	2912.6399110883212	false	9	5400	6000	1951	263653.54244109674	307490.25955751585	323639.85634360963	333083.8284315769
0.04	0.32	2912.6399110883212	false	10	6000	6600	1963	290658.99313106184	325555.2691022116	359104.7861143076	364643.5118753816
0.04	0.32	2912.6399110883212	false	11	6600	7200	1979	325322.1581386742	356964.162395725	377822.1622735846	381090.68028393266
