lambda_rank_sessions_s	lambda_node_sessions_s	turnover_secs	output_tokens_per_sec	slo_met	first_breach_window	first_breach_start_secs	max_window_p99_ms
0.015	0.12	2989.5081703404794	2387.965510124671	true			5635.559305550302
0.0175	0.14	2563.413897442476	2694.622869060992	true			5030.3403367174915
0.02	0.16	2243.113244111766	3011.229510297725	true			8049.277973643443
0.02125	0.17	2111.7525628512435	3146.023945206604	false	11	6600	43418.02519687202
0.0225	0.18	1994.3505647788675	3314.1089104004363	false	11	6600	66068.96357400101
0.02375	0.19	1890.963363539534	3397.988614021366	false	6	3600	112799.28575116096
0.025	0.2	1796.6206387330806	3377.456726966769	false	6	3600	150354.17977654908
0.0275	0.22	1696.287902121243	3248.0676307632134	false	6	3600	209623.9550195287
0.03	0.24	1566.788708706496	2982.693515964051	false	5	3000	255191.03959728853
0.04	0.32	1312.0453967695817	2912.6399110883212	false	4	2400	377822.1622735846
